#addr;title
http://bato.to/reader#0b3586f1b15156ff;Vol.8 Ch.71: Brad Diamond.
http://bato.to/reader#17c444a1de6739d6;Vol.8 Ch.72: Scissor Hands
http://bato.to/reader#0412b0e0dc105a15;Vol.8 Ch.72: Scissor Hands.
http://bato.to/reader#978434ab4e1a0a02;Vol.8 Ch.73: Nude Night.
http://bato.to/reader#6484784a66c53ce0;Vol.8 Ch.74: IN&amp;OUT
http://bato.to/reader#03caffa90f0457a9;Vol.8 Ch.75: Kiss Kiss Bang Bang
http://bato.to/reader#b2c1fcdae0bd37fa;Vol.8 Ch.76: Long Kiss Goodnight.
http://bato.to/reader#0ba883634f3461a8;Vol.8 Ch.77: Sengoku SDF
http://bato.to/reader#5df93df3033f6d11;Vol.8 Ch.78: On a night when the moon shines.
http://bato.to/reader#12793a775fe2c709;Vol.9 Ch.79: The Morning of Expulsion
http://bato.to/reader#7a038d22bdb1f2af;Vol.9 Ch.80: The Man in Only Briefs
http://bato.to/reader#785e08142b81acf1;Vol.9 Ch.81: Violence and Jailbreak
http://bato.to/reader#bb342bd7b4a2bc00;Vol.9 Ch.82: Much Ado About Nothing in Love
http://bato.to/reader#344d6df4302fee75;Vol.9 Ch.83: Heaven and Hell
http://bato.to/reader#4ec936714cfe60cc;Vol.9 Ch.84: A Storm of Love and Hatred
http://bato.to/reader#4a68e5ccbd084256;Vol.9 Ch.85: Taxi Driver
http://bato.to/reader#1ced294a4a13d786;Vol.9 Ch.86: Vengeance Is Mine
http://bato.to/reader#f04105cb1c06ace5;Vol.9 Ch.87: Mad Wax
http://bato.to/reader#10eda3eab7d6cd5f;Vol.9 Ch.88: The Girl Can't Help It
http://bato.to/reader#2a3817ef753bf2e0;Vol.10 Ch.89: The Prisoner's Premonition
http://bato.to/reader#7e18464c7e23a240;Vol.10 Ch.90: A Better Tomorrow
http://bato.to/reader#a938eaec7baa18da;Vol.10 Ch.91: I Can Hear the Song of the Student Council President
http://bato.to/reader#3b9a796c21cafeb4;Vol.10 Ch.92: Shall We Guard?
http://bato.to/reader#7820021633e5899f;Vol.10 Ch.93: Completely... with that Mindset
http://bato.to/reader#d3a5a6ea77a7ef73;Vol.10 Ch.94: Pay Forward
http://bato.to/reader#4151d4ac333febfb;Vol.10 Ch.95: The Girl Who Leapt Through Time
http://bato.to/reader#9b15222e0f77d118;Vol.10 Ch.96: Exploding Classroom
http://bato.to/reader#4ec728576d7876e4;Vol.10 Ch.97: Life  is Beautiful
http://bato.to/reader#ca1c8b443b523bef;Vol.10 Ch.98: Woman of Steel
http://bato.to/reader#93f80522a016eb60;Vol.11 Ch.99: Violent Cop/That Woman is Brutal
http://bato.to/reader#57a8ecf64067227f;Vol.11 Ch.100: To Die for
http://bato.to/reader#b4d29540d03fcc87;Vol.11 Ch.101: The Second Kiss
http://bato.to/reader#9c7fdefa8c203d57;Vol.11 Ch.102: Shrimp of Endearment
http://bato.to/reader#be5485656da54a46;Vol.11 Ch.103: The Secret Garden
http://bato.to/reader#536a56ab7dfa011b;Vol.11 Ch.104: Crow Day Afternoon
http://bato.to/reader#5e240bf6db784d58;Vol.11 Ch.105: Pet Cemetery
http://bato.to/reader#61a72e31b18a6d70;Vol.11 Ch.106: Black Monday
http://bato.to/reader#c06cc8c66469bbfb;Vol.11 Ch.107: Mister Lonely
http://bato.to/reader#3c49553ff299f3e6;Vol.11 Ch.108: I Want to Hold You Close
http://bato.to/reader#d61dbb2cd8b5ed64;Vol.12 Ch.109: Kiyoshi's Return
http://bato.to/reader#9a880c0051b23304;Vol.12 Ch.110: The Accused
http://bato.to/reader#809b5784a7238759;Vol.12 Ch.111: The Gift of the Swordsman
http://bato.to/reader#169925681661f9bb;Vol.12 Ch.112: The Queen
http://bato.to/reader#f40f8fd8cff76323;Vol.12 Ch.113: Be With You
http://bato.to/reader#07c8a019c61d5f90;Vol.12 Ch.114: AnoHana: Kiyoshi Still Doesn't Know the Rage of the Hana He Saw That...
http://bato.to/reader#9dda0809f83c60a1;Vol.12 Ch.115: Things You Can Tell Just by Looking at Her
http://bato.to/reader#696f7083fcc45984;Vol.12 Ch.116: Hand-Drunk Love
http://bato.to/reader#c9a8e9a8783a7ce2;Vol.12 Ch.117: The Great Bosom
http://bato.to/reader#c5b9775d040b0b95;Vol.12 Ch.118: Dreams for Sale
http://bato.to/reader#1357117ea776edbe;Vol.13 Ch.119: Love Him If You Dare
http://bato.to/reader#445703f8312670a1;Vol.13 Ch.120: Kiss-Ass
http://bato.to/reader#f7bb9162eb1348db;Vol.13 Ch.121: Entrapment
http://bato.to/reader#96f892d55da9415e;Vol.13 Ch.122: The Bad Laugh Well
http://bato.to/reader#333934548a9af404;Vol.13 Ch.123: Invictus
http://bato.to/reader#8572ed0559b1a06e;Vol.13 Ch.124: The Three Kingdoms of Finizi-Continis
http://bato.to/reader#85245ea5c3680d9d;Vol.13 Ch.125: Guilty by Suspicion
http://bato.to/reader#250f3d24951558dd;Vol.13 Ch.126: Man on a Ledge
http://bato.to/reader#275bf16dfb4e38dd;Vol.13 Ch.127: The Dangerous Lives of Altered Boys
http://bato.to/reader#3d80b06dbc92625a;Vol.13 Ch.128: Catch Me If You Can
http://bato.to/reader#0a061347e6e90f04;Ch.129: The Witness
http://bato.to/reader#91cf7cdeb6009f78;Ch.130: Vantage Point
http://bato.to/reader#6814a2d3c8fbf2bf;Ch.131: The Right Stuff
http://bato.to/reader#992143b4a078057c;Ch.132: Snow White
http://bato.to/reader#96fc12b75f33d573;Ch.133: Crossing Over
http://bato.to/reader#b56e4695737bb22e;Ch.134: Konshin: Full Force
http://bato.to/reader#56279e40881b9332;Ch.135: All About My Sister
http://bato.to/reader#5af8afb149cae8be;Ch.136: Goldfinger
http://bato.to/reader#4c726082fa738aa8;Ch.137: The Prestige
http://bato.to/reader#77a52603eeb8dff1;Ch.138: Woman on Top
http://bato.to/reader#0f76c85573bc6296;Ch.139: The Kiyoshi Conference
http://bato.to/reader#a41b0304c5333f2f;Ch.140: For a Copper's Hide
http://bato.to/reader#73f9c94c8d546e95;Ch.141: Myself, and the Kuriharas
http://bato.to/reader#34c026c0a9409ade;Ch.142: Buried
http://bato.to/reader#0d2e02c5b632b570;Ch.143: Dream to Believe
http://bato.to/reader#d5bb355fe3844152;Ch.144: The Bird
http://bato.to/reader#21025fd225898968;Ch.145: Third Girl
http://bato.to/reader#c061c28e08d5bfd2;Ch.146: Under Siege
http://bato.to/reader#b34f218985a637a7;Ch.147 Read Online
http://bato.to/reader#1141f427462f84fa;Ch.148: Sleeping Beast
http://bato.to/reader#7d84e4bbaeee0b0f;Ch.149: The Longest Day in Prison
http://bato.to/reader#fd054c1968a57130;Ch.150: The Quiet Man
http://bato.to/reader#fa9fffc033f9b071;Ch.151: Demolition Man
http://bato.to/reader#83c64b70ff4ad804;Ch.152: With Honors
http://bato.to/reader#bfeccac409919941;Ch.153: The Dreamlife of Beasts
http://bato.to/reader#f361e24e44dd2c50;Ch.154: Soulful Kitchen
http://bato.to/reader#10c3a6743ee706a2;Ch.155: Les Misérables
http://bato.to/reader#7711edeefc3ef348;Ch.156: For Whom
http://bato.to/reader#96847ba3c97a7f4f;Ch.157: October Sky
http://bato.to/reader#31ff41133d2a0733;Ch.158: When Mari Was There
http://bato.to/reader#36b5bf05e1f3589f;Ch.159: Pride and Prejudice
http://bato.to/reader#7cb51c248bb844f0;Ch.160: Dark Box
http://bato.to/reader#d7bb36beacb18a46;Ch.161: Whispers of the heart
http://bato.to/reader#d14a321e544752ca;Ch.161:  Whisper of the Heart
http://bato.to/reader#241c8577579bd115;Ch.162: No one Knows
http://bato.to/reader#b8dd70ac1fc235b7;Ch.162: Nobody Knows
http://bato.to/reader#8e15757d31b28fb6;Ch.163: Inception
http://bato.to/reader#2c676ea388414de4;Ch.163: Inception
